Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.26563057301860277
75% Corpus,2,0.01,0.31,0.26563057301860277
75% Corpus,2,0.01,0.61,0.26563057301860277
75% Corpus,2,0.01,0.9099999999999999,0.26563057301860277
75% Corpus,2,0.01,symmetric,0.26563057301860277
75% Corpus,2,0.31,0.01,0.26563057301860277
75% Corpus,2,0.31,0.31,0.26563057301860277
75% Corpus,2,0.31,0.61,0.26563057301860277
75% Corpus,2,0.31,0.9099999999999999,0.26563057301860277
75% Corpus,2,0.31,symmetric,0.26563057301860277
75% Corpus,2,0.61,0.01,0.26563057301860277
75% Corpus,2,0.61,0.31,0.26563057301860277
75% Corpus,2,0.61,0.61,0.26563057301860277
75% Corpus,2,0.61,0.9099999999999999,0.26563057301860277
75% Corpus,2,0.61,symmetric,0.26563057301860277
75% Corpus,2,0.9099999999999999,0.01,0.26563057301860277
75% Corpus,2,0.9099999999999999,0.31,0.26563057301860277
75% Corpus,2,0.9099999999999999,0.61,0.26563057301860277
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.26563057301860277
75% Corpus,2,0.9099999999999999,symmetric,0.26563057301860277
75% Corpus,2,symmetric,0.01,0.26563057301860277
75% Corpus,2,symmetric,0.31,0.26563057301860277
75% Corpus,2,symmetric,0.61,0.26563057301860277
75% Corpus,2,symmetric,0.9099999999999999,0.26563057301860277
75% Corpus,2,symmetric,symmetric,0.26563057301860277
75% Corpus,2,asymmetric,0.01,0.26563057301860277
75% Corpus,2,asymmetric,0.31,0.26563057301860277
75% Corpus,2,asymmetric,0.61,0.26563057301860277
75% Corpus,2,asymmetric,0.9099999999999999,0.26563057301860277
75% Corpus,2,asymmetric,symmetric,0.26563057301860277
75% Corpus,3,0.01,0.01,0.26563057301860277
75% Corpus,3,0.01,0.31,0.26563057301860277
75% Corpus,3,0.01,0.61,0.26563057301860277
75% Corpus,3,0.01,0.9099999999999999,0.26563057301860277
75% Corpus,3,0.01,symmetric,0.26563057301860277
75% Corpus,3,0.31,0.01,0.26563057301860277
75% Corpus,3,0.31,0.31,0.26563057301860277
75% Corpus,3,0.31,0.61,0.26563057301860277
75% Corpus,3,0.31,0.9099999999999999,0.26563057301860277
75% Corpus,3,0.31,symmetric,0.26563057301860277
75% Corpus,3,0.61,0.01,0.26563057301860277
75% Corpus,3,0.61,0.31,0.26563057301860277
75% Corpus,3,0.61,0.61,0.26563057301860277
75% Corpus,3,0.61,0.9099999999999999,0.26563057301860277
75% Corpus,3,0.61,symmetric,0.26563057301860277
75% Corpus,3,0.9099999999999999,0.01,0.26563057301860277
75% Corpus,3,0.9099999999999999,0.31,0.26563057301860277
75% Corpus,3,0.9099999999999999,0.61,0.26563057301860277
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.26563057301860277
75% Corpus,3,0.9099999999999999,symmetric,0.26563057301860277
75% Corpus,3,symmetric,0.01,0.26563057301860277
75% Corpus,3,symmetric,0.31,0.26563057301860277
75% Corpus,3,symmetric,0.61,0.26563057301860277
75% Corpus,3,symmetric,0.9099999999999999,0.26563057301860277
75% Corpus,3,symmetric,symmetric,0.26563057301860277
75% Corpus,3,asymmetric,0.01,0.26563057301860277
75% Corpus,3,asymmetric,0.31,0.26563057301860277
75% Corpus,3,asymmetric,0.61,0.26563057301860277
75% Corpus,3,asymmetric,0.9099999999999999,0.26563057301860277
75% Corpus,3,asymmetric,symmetric,0.26563057301860277
75% Corpus,4,0.01,0.01,0.26563057301860277
75% Corpus,4,0.01,0.31,0.26563057301860277
75% Corpus,4,0.01,0.61,0.26563057301860277
75% Corpus,4,0.01,0.9099999999999999,0.26563057301860277
75% Corpus,4,0.01,symmetric,0.26563057301860277
75% Corpus,4,0.31,0.01,0.26563057301860277
75% Corpus,4,0.31,0.31,0.26563057301860277
75% Corpus,4,0.31,0.61,0.26563057301860277
75% Corpus,4,0.31,0.9099999999999999,0.26563057301860277
75% Corpus,4,0.31,symmetric,0.26563057301860277
75% Corpus,4,0.61,0.01,0.26563057301860277
75% Corpus,4,0.61,0.31,0.26563057301860277
75% Corpus,4,0.61,0.61,0.26563057301860277
75% Corpus,4,0.61,0.9099999999999999,0.26563057301860277
75% Corpus,4,0.61,symmetric,0.26563057301860277
75% Corpus,4,0.9099999999999999,0.01,0.26563057301860277
